,address,delegation,refund_in_ujuno,refun_in_juno
89,juno1qur9grvh29plr6pcyzl8rav7j95xghtlzmkrnj,115010200,5750510,5.75051
90,juno1qu9zda05lfeeayxkxhjpznyuy0ewqzp6cw642n,1000,50,5e-05
91,juno1qugr2w7t8g97480d28wyy2qyxrlqf6f38ffh8k,15170,758,0.000758
92,juno1qug9dfqzr4c2rfvz8cflyxag99axe8x8cr9lcn,4039719,201985,0.201985
93,juno1quu8yrg9chrc5y0d9e2tcje6j9krt7dal2phrd,451649384,22582469,22.582469
94,juno1qul6q9zhzp204sdk9d5c6td44pnd79mzup7334,772348088,38617404,38.617404
95,juno1qaqtsgh3t7a0nctuepfhkw2pecmdcf0qdwtvqk,77380675,3869033,3.869033
96,juno1q7qn0v7rc02p4mc46xw7j2yzvmuu8aeh054k7g,14000000,700000,0.7
97,juno1q75ek8zwkpky88slu95r26pxf0qp8yluln07q7,1420000,71000,0.071
98,juno1qly96sy3yklkwv6cf4he5ves4qu8yn58v6sm42,500000,25000,0.025
99,juno1ql8ucwdpya73jf4gyvajahzvnja5ajuyfwr465,15170,758,0.000758
100,juno1ql52ynyys6s28ka22swm5a92rg5mtjqtv2k7n2,5000,250,0.00025
101,juno1qlkknpc3v5a2yh7udaplcm4c8aee82e404ymad,59300883,2965044,2.965044
102,juno1qluaqclrhuzf8pnuk7lzx3lzrz38z9gkd5w357,1140459082,57022954,57.022954
103,juno1pqsv9jxcz6sr3p2xxf78a2jf6z022zqe2kumu3,10,0,0.0
104,juno1pppv9uqrrzgnv8ydcal4y2hv6dedn0f4djdjg2,13801059,690052,0.690052
105,juno1pppkkcv5jr7vewpsrw3dqc6qfr024rwma0z5uc,15000000,750000,0.75
106,juno1ppjpsw4guzwe7chunx9lxx8vadxxweksre6wwn,51008590,2550429,2.550429
107,juno1pzy726yr7s8u85u4pef5584a9dxscyss3zk0yq,5000000,250000,0.25
108,juno1pzxyp3wlf27y6mlxvl546q2pqtrc8am5y278c7,65699120,3284956,3.284956
109,juno1pz63lj8uy8gtm8wcx5ckh6jhzy77ffnqnxmyyj,1001,50,5e-05
110,juno1pyzxvfa7f8gr5x20n8kl0lu78jczuevnhnl7j0,100004019,5000200,5.0002
111,juno1pyrpuy567yu9tze5xrwttacfq9r76xlkq0w0c5,44058828,2202941,2.202941
112,juno1pyfnq2h8td7syepfrw5h9vpmd4a4474kj3n7nq,550,27,2.7e-05
113,juno1pyjf5mcq4pkzwfq9yjxs06cqsepqje030p32d7,671419,33570,0.03357
114,juno1py7njq9kcm0ety4h23hq2w482vv7x5c2cpz80y,58450000,2922500,2.9225
115,juno1p9qyvn7rccd6783l69yrkhmc7wr3yy328x8udq,1172092,58604,0.058604
116,juno1p9rxplrngndpf390usxyzapzdycen9yss89gn5,10,0,0.0
117,juno1p9hsmt9z6pt008v9rdfq5vv3pkqvnkrlpxdue0,25100000,1255000,1.255
118,juno1pxzjkn528z98a2ewjqhcq949ykh9ttvhp588jw,20000000,1000000,1.0
119,juno1px9g44fwxkdf8e0nga5mjja4f6a95urxc6adxh,10,0,0.0
120,juno1pxh9v95s9cd7wlvqk0l2nvwm378ffa2ugc5erl,1478000,73900,0.0739
121,juno1pxcnxhmy0kefdxn64esk4mzlx8mp005h23fz5t,60000000,3000000,3.0
122,juno1pxu39lh7xt53tmsxmfzyltev2ke995lcxe99h0,28782213,1439110,1.43911
123,juno1pgwf50mvx6d9cwqv822dz42nsml5g9me53pa4e,52659000,2632950,2.63295
124,juno1pgshtxawpkhur98p6rrnf772ua98rrjzkq93vm,63934088,3196704,3.196704
125,juno1pg3uzk7v0ddhxen8gze5hq0z89far4hthj5avt,50000000,2500000,2.5
126,juno1pgjeveyq02nerxcc68yrzjce64qq856795atql,63000000,3150000,3.15
127,juno1pfpamsh86j52w7fy2jm3j8rh6whntp2hkg74j5,105000,5250,0.00525
128,juno1pfzsn5r30jun35k8xmw59tkylkqedfkrkyzpg8,10080000,504000,0.504
129,juno1pf99ax4gzjz7fkxnyxglydc04xy7vmt0dh0gr0,323290000,16164500,16.1645
130,juno1pfwujmy502mphpxrumkf78h0pa6nufz8lcza0t,107553,5377,0.005377
131,juno1p2qpd66p079c9p4c0j2utv78sn7cjzjapc0n68,10,0,0.0
132,juno1p2pvfp7n6xcq4flt4dla7rz7wmdw9a6pcqq9cd,10,0,0.0
133,juno1p2ncxsxjz0nxkd98egutlwpkjscs5cflyewjsl,108970,5448,0.005448
134,juno1pvpnz2aswd3k22xcdt74hhsagqa2tq6ce0u4up,1001,50,5e-05
135,juno1pvck94ww7p90tvgp66hufamc0s5qxzjuz7j792,59858211,2992910,2.99291
136,juno1pd8s0h7myza0p00hpsmhu966z4nkgtamttnda5,51000000,2550000,2.55
137,juno1pds8hqgu23x23ykvdw5dpm75cvg7tdq0vvtfxz,1360000000,68000000,68.0
138,juno1pwqt0h7a042dmm5qta6vcdxxcqq3frlq2hn6xc,29400920,1470046,1.470046
139,juno1pwszhdj0wlvy7c0vr46nrhxmt5y595ghencrg5,60539833,3026991,3.026991
140,juno1p098q2ccd87zue23rr8j3g8azh539e4upaslwa,49708213,2485410,2.48541
141,juno1p0xfauu22qthv2n57k5g7q0exj7qz3xhgzvgyf,101000000,5050000,5.05
142,juno1p0s7qgajfjph24yjl3jj09fncpxjnxfmaykp7g,50010000,2500500,2.5005
143,juno1p0jn9hurhn9xm36gceltxn3hewn8xs424z6umf,22842220,1142111,1.142111
144,juno1p0j53gfpfq52h6dtplpltkp8gg0cn6dagwy4nw,10,0,0.0
145,juno1psdhnw746sej28ruup7uyk8ym227zl6e2z9fxj,29000000,1450000,1.45
146,juno1p3yr85yalp00dmg7xfrf0dm0alfswuu2zvtc85,2000,100,0.0001
147,juno1p33k3ctdvvjv504sxnpc00fks0fngm8mr5hv4l,103516290,5175814,5.175814
148,juno1p3elewj6tz2t5t30s09r6lqswu8hpk5sw0r33s,58000000,2900000,2.9
149,juno1pjvkddp4fmx8ym5j7s7su8kn3zuqj255cn4ftx,400000000,20000000,20.0
150,juno1pjw44hj9473lu06c85uvmzed93n88nazyd7a2u,323189326,16159466,16.159466
151,juno1pnqtzlfp8cgkk7tucdyctr5h0p98jpcm09wzsx,14045154,702257,0.702257
152,juno1pnntdvyfndak2ehhgam2n4q4440a0klg64peju,187923154,9396157,9.396157
153,juno1pn7txcl84yd4ht0ks5nlddjkakujjqzszzclnw,10822000000,541100000,541.1
154,juno1p5ta73s3gawdge60wa329t63mlr6h7dkthqjdk,215170000,10758500,10.7585
155,juno1p5jd85j26mfa00ffz50smnrmtsm9xeld4h6yuh,1001,50,5e-05
156,juno1p5als07xw4h4an92wgvpnajasll9p85r790upm,300000000,15000000,15.0
157,juno1p4hc20yrucx4hk4lf68wmuzvsa0rrxkuws537j,433457635,21672881,21.672881
158,juno1p4uxaamgl05qa45zyrdpk62ka20alfa7gup5lv,125000000,6250000,6.25
159,juno1pkqlreyw7vq2gas9chs8v2lnv6ftfnlezak8fn,135194975,6759748,6.759748
160,juno1pkp8xhsw4yl3mcecurv386jw4j2y776w76lluw,720000,36000,0.036
161,juno1pkpsclxs8x2hce0zqslmuaey0hrvfcmfr9j8yf,32459791,1622989,1.622989
162,juno1pk07jt3d2j5rqenlnpl4asdakp9us3nz2na4w7,7386618440,369330922,369.330922
163,juno1pk370dffmur7wze7qpaycmrx2x55avsexahqx2,1050000,52500,0.0525
164,juno1pkjafuz2lnpr8ph36wvyjehdm5pc68g9vt7qxh,2060008,103000,0.103
165,juno1pkm998xw4vtluu0k4agya7e6zf4rwxsl9lavuw,24339151679,1216957583,1216.957583
166,juno1phqyjtqgg7jkl90khtf7c6x9yhqvn65h6ntqrj,16715803,835790,0.83579
167,juno1phtv7xp7nvhs7apfw2mllnazzhu7hdnte38ak7,1700000,85000,0.085
168,juno1pe8we2p3054lp6c4pg3spfh2hn92j2eeuj2242,1000000,50000,0.05
169,juno1pewd5qnft00e6yegttpjdsugz6avct3q2ya0y5,110120,5506,0.005506
170,juno1pe0avla5qm8fdk69kmc3cg8pcrglw0z43h3ktx,5000000,250000,0.25
171,juno1peewdgcy7zea0gcr98yy0fzn8zvcl75wlfhy4z,1000,50,5e-05
172,juno1p63ysfxpwgg6n5j3gr5ldesc5e9qjpgspw3gps,10,0,0.0
173,juno1pmaltcu0x97x8j5klc8xluaapkzcvztcxtm7z4,300000000,15000000,15.0
174,juno1pm7ytqzq6t84pwfdtvmghj9qku98gz7v4cm67v,20000000,1000000,1.0
175,juno1pml0lnrt5r7ykkaxpm888vshx94274gq8rjllr,100000,5000,0.005
176,juno1pupl0vfqppy9cws2a8pv748quxyhmx6vsentpq,1000000,50000,0.05
177,juno1puxv302zjc8zfgq3p6saafvhql64gafjl0dg9d,10596426,529821,0.529821
178,juno1pufy8qm4qsnxxapugc3l2vvmtpp0vk0sywlrs7,100020000,5001000,5.001
179,juno1pu308e2ya4wfkdjv2g6fk9f37k78fyvnzdyten,86945192,4347259,4.347259
180,juno1pun7lwmdu39z28s5rq2jhng0sq5u3y9me866m0,98863276,4943163,4.943163
181,juno1pue60d2zdv2qzaurgeg66n0qpjx4ep8t8rgcky,63645113,3182255,3.182255
182,juno1pum7vpysk43u462zm9e3wu92xz8s50z8k74t8f,110120,5506,0.005506
183,juno1paq5h6cp2fcwv2969xs6vr6ljtyaj3fveleaf7,137488603,6874430,6.87443
184,juno1pa9pnsmavz7tysuje2f6fyrljaklzqa653e27a,291508144,14575407,14.575407
185,juno1p7jpnpr9kr7zns0thax5akt4e2a5c8fcu8m92k,101000000,5050000,5.05
186,juno1pl74e4r3wdlelzl04u0cyj2u3f2l626ke5jscd,488196552,24409827,24.409827
187,juno1zq96jtp7g23wzthrheznck6m20v8aqa8x7l0r0,50000,2500,0.0025
188,juno1zqg753ll6zf85nzml67ure8zqqkpyvw8z59lnj,10000000,500000,0.5
189,juno1zq05xzq4qhq2prrzptkr8vu6mafkn52w4hwd56,100000,5000,0.005
190,juno1zqsrake784wky62yk8znxwmw4mcnypgetwtr2w,10,0,0.0
191,juno1zqcs4nemqnpa6xyv94tm7n7ja0rgxfesv4jf35,9010000,450500,0.4505
192,juno1zpwgvwjkcpa695f6wmq9npsj204qc90wx2gqnz,19816397,990819,0.990819
193,juno1zp5c6qs6u27z3wun8h2wrvapdjph5gt9u2w049,5000000,250000,0.25
194,juno1zphkwl6h33qhpjhqhwtufklhct9yq4hghmlxdw,11000,550,0.00055
195,juno1zzqxw6fygdhdzh9zh7cuvwqc4qjhm0zafv5k57,7000000,350000,0.35
196,juno1zzpar08gfmsukmg7emppar3ut9ns2wvz5gmrfc,1100000,55000,0.055
197,juno1zz8qn7k3jadvaecly8rj7hg6lx4zmk5e6wzh9x,118846518,5942325,5.942325
198,juno1zrg64dcv0u8q2ru4xy3t9vguf7ug0lqz4yvlfu,30000000,1500000,1.5
199,juno1zrtq3cx55559lp7qkjetssjt0nwhzce87lhmzm,1454000,72700,0.0727
200,juno1zrjj8s8j0jqq3nympzc0f9yugjmv4wfef08ry9,48000005,2400000,2.4
201,juno1zrnmtqly6j740duhlndf6xjnzwuug0rp4pxpyr,10001,500,0.0005
202,juno1zr5z83rnskqhy04twg5metsx0xmksl024gsxau,3700000,185000,0.185
203,juno1zrheds8yuh7awhz64pph7rfu8tjayqxvfz8vvf,10001,500,0.0005
204,juno1zyxq538fp9rgurqed3nwvnflt6pvrrwcsju0a2,56000000,2800000,2.8
205,juno1zyf6g2cn8k0jdnhqde6rf2vr0hnlqqsyvuhcua,1633963,81698,0.081698
206,juno1zysjj3nvypsvktl7fslcj9k5qzswy0pcynwv99,101100000,5055000,5.055
207,juno1z9qzcjm49e79nxz5qqwaayk3n0gukddkllsxkd,1001,50,5e-05
208,juno1z9pnz9da7vedrymvznwzqcc2dnw249c20vde0d,10,0,0.0
209,juno1z9z4n2qxqpq5tyqnhxzvh3rswa8lcm40atlw8e,88609102,4430455,4.430455
210,juno1z9r7syl40gwwnqddk3mygzkt0nl92yar94ejle,10001,500,0.0005
211,juno1z90nzx889vqrgyjwyfkurdgqmds3a0d4ehachs,1550000,77500,0.0775
212,juno1zxqwtvge7kuzxy42fhqvvsl8tn6a9elc73dqxh,1001,50,5e-05
213,juno1zxzmm6f3qdf7esgmx7f545gw8k227wanrl94dy,21110000,1055500,1.0555
214,juno1zxxp3kyfglqm79rjmgghta4msuvq8yus04dfnp,1001,50,5e-05
215,juno1zxxrhuppdnlefxf3cwhtz34whtrcw5gpwzlwc3,35000000,1750000,1.75
216,juno1zxs6yzkspqszlu7kuadepdgh3vp9u8cxsaeldj,4200000,210000,0.21
217,juno1zxjct4qwyltyt03dspewyyvlkadgjtruymgwqp,550,27,2.7e-05
218,juno1zx4cthj7xnvkygaavpefvsm6gakfd8ax8ekhen,1001,50,5e-05
219,juno1z8yue4jj7xg2m59tqrtduynwvmcall4dfl47a7,100000,5000,0.005
220,juno1z83gnd840qs6gdyqmzz3e3gzmktw43qzj4et39,108900000,5445000,5.445
221,juno1z8enphh6z2fkdrrl6dfu3cnxugcptcc4zkvh3r,10001,500,0.0005
222,juno1z86328atna82gh36tppwxepu000jdyxd2c6sh7,12680000,634000,0.634
223,juno1zg058kd8trve7cjchl4yt2lmafw3lgnx083akw,50122838,2506141,2.506141
224,juno1zgsf2996vlht66cvd2gjag9e27fhanqt92avpw,1039649060,51982453,51.982453
225,juno1zf2up8cs7lnegn6szx8la9czh0gzyl35kyx2ja,1000,50,5e-05
226,juno1z2y08pxsqdxdefrx7r6yajxk6wc37nanfh2ars,25000000,1250000,1.25
227,juno1z2y5wj8pcptv3hyg3kmt7nmcpqgnqkgy5am49l,114652,5732,0.005732
228,juno1z2grwy5rxwt763xpdmfp9swl2r02uj6sqt6dmg,450000,22500,0.0225
229,juno1z2tr9c2vhnfjvusgyu84uh6nwjwuf8maujhy4w,12997000000,649850000,649.85
230,juno1z2t6ttycu7scg6pkzvxfhefwrk6s50vnm5mytt,15000000,750000,0.75
231,juno1z203t7p0wc7xgw6crmpya8hygq38dttac9qrgf,5050000,252500,0.2525
